detectorid,locationtext
1345,Sunnyside NB
1346,Sunnyside NB
1347,Sunnyside NB
1348,Sunnyside NB
1353,Johnson Cr NB
1354,Johnson Cr NB
1355,Johnson Cr NB
1361,Foster NB
1362,Foster NB
1363,Foster NB
1809,Powell to I-205 NB
1810,Powell to I-205 NB
1811,Powell to I-205 NB
1369,Division NB
1370,Division NB
1371,Division NB
1949,I-205 NB at Glisan
1950,I-205 NB at Glisan
1951,I-205 NB at Glisan
1941,I-205 NB at Columbia
1942,I-205 NB at Columbia
1943,I-205 NB at Columbia
1856,Sunnyside SB
1857,Sunnyside SB
1858,Sunnyside SB
1730,Johnson Creek SB
1731,Johnson Creek SB
1732,Johnson Creek SB
1417,Foster SB
1418,Foster SB
1419,Foster SB
1409,Powell Blvd SB
1410,Powell Blvd SB
1411,Powell Blvd SB
1401,Division SB
1402,Division SB
1403,Division SB
1393,Stark/Washington SB
1394,Stark/Washington SB
1395,Stark/Washington SB
1953,I-205 SB at Glisan
1954,I-205 SB at Glisan
1955,I-205 SB at Glisan
1945,I-205 SB at Columbia
1946,I-205 SB at Columbia
1947,I-205 SB at Columbia
1385,Airportway EB to SB
1386,Airportway EB to SB
1387,Airportway EB to SB
1377,Airportway WB to SB
1378,Airportway WB to SB
1379,Airportway WB to SB
