locationtext,detectorid,starttime,volume,speed,length
Foster NB,1361,2011-09-22 00:00:00,0,,1.6
Foster NB,1361,2011-09-22 00:00:20,0,,1.6
Foster NB,1361,2011-09-22 00:00:40,0,,1.6
Foster NB,1361,2011-09-22 00:01:00,0,,1.6
Foster NB,1361,2011-09-22 00:01:20,0,,1.6
Foster NB,1361,2011-09-22 00:01:40,0,,1.6
Foster NB,1361,2011-09-22 00:02:00,0,,1.6
Foster NB,1361,2011-09-22 00:02:20,0,,1.6
Foster NB,1361,2011-09-22 00:02:40,0,,1.6
Foster NB,1361,2011-09-22 00:03:00,0,,1.6
Foster NB,1361,2011-09-22 00:03:20,0,,1.6
Foster NB,1361,2011-09-22 00:03:40,0,,1.6
Foster NB,1361,2011-09-22 00:04:00,0,,1.6
Foster NB,1361,2011-09-22 00:04:20,1,64,1.6
Foster NB,1361,2011-09-22 00:04:40,1,50,1.6
Foster NB,1361,2011-09-22 00:05:00,0,,1.6
Foster NB,1361,2011-09-22 00:05:20,0,,1.6
Foster NB,1361,2011-09-22 00:05:40,0,,1.6
Foster NB,1361,2011-09-22 00:06:00,0,,1.6
Foster NB,1361,2011-09-22 00:06:20,1,67,1.6
Foster NB,1361,2011-09-22 00:06:40,1,68,1.6
Foster NB,1361,2011-09-22 00:07:00,0,,1.6
Foster NB,1361,2011-09-22 00:07:20,0,,1.6
Foster NB,1361,2011-09-22 00:07:40,1,67,1.6
Foster NB,1361,2011-09-22 00:08:00,0,,1.6
Foster NB,1361,2011-09-22 00:08:20,0,,1.6
Foster NB,1361,2011-09-22 00:08:40,0,,1.6
Foster NB,1361,2011-09-22 00:09:00,0,,1.6
Foster NB,1361,2011-09-22 00:09:20,3,59,1.6
Foster NB,1361,2011-09-22 00:09:40,0,,1.6
Foster NB,1361,2011-09-22 00:10:00,1,97,1.6
Foster NB,1361,2011-09-22 00:10:20,0,,1.6
Foster NB,1361,2011-09-22 00:10:40,0,,1.6
Foster NB,1361,2011-09-22 00:11:00,0,,1.6
Foster NB,1361,2011-09-22 00:11:20,0,,1.6
Foster NB,1361,2011-09-22 00:11:40,0,,1.6
Foster NB,1361,2011-09-22 00:12:00,1,67,1.6
Foster NB,1361,2011-09-22 00:12:20,1,67,1.6
Foster NB,1361,2011-09-22 00:12:40,0,,1.6
Foster NB,1361,2011-09-22 00:13:00,0,,1.6
Foster NB,1361,2011-09-22 00:13:20,1,68,1.6
Foster NB,1361,2011-09-22 00:13:40,0,,1.6
Foster NB,1361,2011-09-22 00:14:00,0,,1.6
Foster NB,1361,2011-09-22 00:14:20,0,,1.6
Foster NB,1361,2011-09-22 00:14:40,0,,1.6
Foster NB,1361,2011-09-22 00:15:00,1,50,1.6
Foster NB,1361,2011-09-22 00:15:20,1,68,1.6
Foster NB,1361,2011-09-22 00:15:40,0,,1.6
Foster NB,1361,2011-09-22 00:16:00,3,51,1.6
Foster NB,1361,2011-09-22 00:16:20,0,,1.6
Foster NB,1361,2011-09-22 00:16:40,1,67,1.6
Foster NB,1361,2011-09-22 00:17:00,0,,1.6
Foster NB,1361,2011-09-22 00:17:20,1,67,1.6
Foster NB,1361,2011-09-22 00:17:40,0,,1.6
Foster NB,1361,2011-09-22 00:18:00,1,50,1.6
Foster NB,1361,2011-09-22 00:18:20,0,,1.6
Foster NB,1361,2011-09-22 00:18:40,0,,1.6
Foster NB,1361,2011-09-22 00:19:00,0,,1.6
Foster NB,1361,2011-09-22 00:19:20,0,,1.6
Foster NB,1361,2011-09-22 00:19:40,0,,1.6
Foster NB,1361,2011-09-22 00:20:00,2,58,1.6
Foster NB,1361,2011-09-22 00:20:20,0,,1.6
Foster NB,1361,2011-09-22 00:20:40,1,50,1.6
Foster NB,1361,2011-09-22 00:21:00,0,,1.6
Foster NB,1361,2011-09-22 00:21:20,2,47,1.6
Foster NB,1361,2011-09-22 00:21:40,0,,1.6
Foster NB,1361,2011-09-22 00:22:00,2,59,1.6
Foster NB,1361,2011-09-22 00:22:20,0,,1.6
Foster NB,1361,2011-09-22 00:22:40,1,68,1.6
Foster NB,1361,2011-09-22 00:23:00,2,67,1.6
Foster NB,1361,2011-09-22 00:23:20,1,68,1.6
Foster NB,1361,2011-09-22 00:23:40,0,,1.6
Foster NB,1361,2011-09-22 00:24:00,0,,1.6
Foster NB,1361,2011-09-22 00:24:20,0,,1.6
Foster NB,1361,2011-09-22 00:24:40,0,,1.6
Foster NB,1361,2011-09-22 00:25:00,0,,1.6
Foster NB,1361,2011-09-22 00:25:20,0,,1.6
Foster NB,1361,2011-09-22 00:25:40,0,,1.6
Foster NB,1361,2011-09-22 00:26:00,1,67,1.6
Foster NB,1361,2011-09-22 00:26:20,0,,1.6
Foster NB,1361,2011-09-22 00:26:40,0,,1.6
Foster NB,1361,2011-09-22 00:27:00,0,,1.6
Foster NB,1361,2011-09-22 00:27:20,1,50,1.6
Foster NB,1361,2011-09-22 00:27:40,0,,1.6
Foster NB,1361,2011-09-22 00:28:00,2,59,1.6
Foster NB,1361,2011-09-22 00:28:20,0,,1.6
Foster NB,1361,2011-09-22 00:28:40,1,67,1.6
Foster NB,1361,2011-09-22 00:29:00,0,,1.6
Foster NB,1361,2011-09-22 00:29:20,1,0,1.6
Foster NB,1361,2011-09-22 00:29:40,0,,1.6
Foster NB,1361,2011-09-22 00:30:00,0,,1.6
Foster NB,1361,2011-09-22 00:30:20,0,,1.6
Foster NB,1361,2011-09-22 00:30:40,1,64,1.6
Foster NB,1361,2011-09-22 00:31:00,1,64,1.6
Foster NB,1361,2011-09-22 00:31:20,1,67,1.6
Foster NB,1361,2011-09-22 00:31:40,0,,1.6
Foster NB,1361,2011-09-22 00:32:00,0,,1.6
Foster NB,1361,2011-09-22 00:32:20,1,64,1.6
Foster NB,1361,2011-09-22 00:32:40,0,,1.6
Foster NB,1361,2011-09-22 00:33:00,1,67,1.6
Foster NB,1361,2011-09-22 00:33:20,0,,1.6
Foster NB,1361,2011-09-22 00:33:40,0,,1.6
Foster NB,1361,2011-09-22 00:34:00,0,,1.6
Foster NB,1361,2011-09-22 00:34:20,0,,1.6
Foster NB,1361,2011-09-22 00:34:40,0,,1.6
Foster NB,1361,2011-09-22 00:35:00,0,,1.6
Foster NB,1361,2011-09-22 00:35:20,1,67,1.6
Foster NB,1361,2011-09-22 00:35:40,2,68,1.6
Foster NB,1361,2011-09-22 00:36:00,0,,1.6
Foster NB,1361,2011-09-22 00:36:20,0,,1.6
Foster NB,1361,2011-09-22 00:36:40,2,27,1.6
Foster NB,1361,2011-09-22 00:37:00,0,,1.6
Foster NB,1361,2011-09-22 00:37:20,1,64,1.6
Foster NB,1361,2011-09-22 00:37:40,0,,1.6
Foster NB,1361,2011-09-22 00:38:00,0,,1.6
Foster NB,1361,2011-09-22 00:38:20,0,,1.6
Foster NB,1361,2011-09-22 00:38:40,0,,1.6
Foster NB,1361,2011-09-22 00:39:00,1,67,1.6
Foster NB,1361,2011-09-22 00:39:20,0,,1.6
Foster NB,1361,2011-09-22 00:39:40,2,66,1.6
Foster NB,1361,2011-09-22 00:40:00,0,,1.6
Foster NB,1361,2011-09-22 00:40:20,1,64,1.6
Foster NB,1361,2011-09-22 00:40:40,3,61,1.6
Foster NB,1361,2011-09-22 00:41:00,1,58,1.6
Foster NB,1361,2011-09-22 00:41:20,0,,1.6
Foster NB,1361,2011-09-22 00:41:40,0,,1.6
Foster NB,1361,2011-09-22 00:42:00,0,,1.6
Foster NB,1361,2011-09-22 00:42:20,1,65,1.6
Foster NB,1361,2011-09-22 00:42:40,0,,1.6
Foster NB,1361,2011-09-22 00:43:00,0,,1.6
Foster NB,1361,2011-09-22 00:43:20,0,,1.6
Foster NB,1361,2011-09-22 00:43:40,0,,1.6
Foster NB,1361,2011-09-22 00:44:00,1,50,1.6
Foster NB,1361,2011-09-22 00:44:20,1,67,1.6
Foster NB,1361,2011-09-22 00:44:40,0,,1.6
Foster NB,1361,2011-09-22 00:45:00,2,68,1.6
Foster NB,1361,2011-09-22 00:45:20,0,,1.6
Foster NB,1361,2011-09-22 00:45:40,0,,1.6
Foster NB,1361,2011-09-22 00:46:00,0,,1.6
Foster NB,1361,2011-09-22 00:46:20,0,,1.6
Foster NB,1361,2011-09-22 00:46:40,1,0,1.6
Foster NB,1361,2011-09-22 00:47:00,0,,1.6
Foster NB,1361,2011-09-22 00:47:20,0,,1.6
Foster NB,1361,2011-09-22 00:47:40,0,,1.6
Foster NB,1361,2011-09-22 00:48:00,0,,1.6
Foster NB,1361,2011-09-22 00:48:20,0,,1.6
Foster NB,1361,2011-09-22 00:48:40,0,,1.6
Foster NB,1361,2011-09-22 00:49:00,0,,1.6
Foster NB,1361,2011-09-22 00:49:20,2,66,1.6
Foster NB,1361,2011-09-22 00:49:40,1,67,1.6
Foster NB,1361,2011-09-22 00:50:00,0,,1.6
Foster NB,1361,2011-09-22 00:50:20,1,67,1.6
Foster NB,1361,2011-09-22 00:50:40,0,,1.6
Foster NB,1361,2011-09-22 00:51:00,1,50,1.6
Foster NB,1361,2011-09-22 00:51:20,1,68,1.6
Foster NB,1361,2011-09-22 00:51:40,0,,1.6
Foster NB,1361,2011-09-22 00:52:00,0,,1.6
Foster NB,1361,2011-09-22 00:52:20,0,,1.6
Foster NB,1361,2011-09-22 00:52:40,0,,1.6
Foster NB,1361,2011-09-22 00:53:00,1,50,1.6
Foster NB,1361,2011-09-22 00:53:20,0,,1.6
Foster NB,1361,2011-09-22 00:53:40,0,,1.6
Foster NB,1361,2011-09-22 00:54:00,1,67,1.6
Foster NB,1361,2011-09-22 00:54:20,,,1.6
Foster NB,1361,2011-09-22 00:54:40,0,,1.6
Foster NB,1361,2011-09-22 00:55:00,1,67,1.6
Foster NB,1361,2011-09-22 00:55:20,0,,1.6
Foster NB,1361,2011-09-22 00:55:40,0,,1.6
Foster NB,1361,2011-09-22 00:56:00,0,,1.6
Foster NB,1361,2011-09-22 00:56:20,0,,1.6
Foster NB,1361,2011-09-22 00:56:40,1,67,1.6
Foster NB,1361,2011-09-22 00:57:00,0,,1.6
Foster NB,1361,2011-09-22 00:57:20,0,,1.6
Foster NB,1361,2011-09-22 00:57:40,0,,1.6
Foster NB,1361,2011-09-22 00:58:00,1,68,1.6
Foster NB,1361,2011-09-22 00:58:20,0,,1.6
Foster NB,1361,2011-09-22 00:58:40,0,,1.6
Foster NB,1361,2011-09-22 00:59:00,0,,1.6
Foster NB,1361,2011-09-22 00:59:20,0,,1.6
Foster NB,1361,2011-09-22 00:59:40,0,,1.6
Foster NB,1361,2011-09-22 01:00:00,1,68,1.6
Foster NB,1361,2011-09-22 01:00:20,0,,1.6
Foster NB,1361,2011-09-22 01:00:40,0,,1.6
Foster NB,1361,2011-09-22 01:01:00,1,67,1.6
Foster NB,1361,2011-09-22 01:01:20,0,,1.6
Foster NB,1361,2011-09-22 01:01:40,1,68,1.6
Foster NB,1361,2011-09-22 01:02:00,0,,1.6
Foster NB,1361,2011-09-22 01:02:20,0,,1.6
Foster NB,1361,2011-09-22 01:02:40,0,,1.6
Foster NB,1361,2011-09-22 01:03:00,2,68,1.6
Foster NB,1361,2011-09-22 01:03:20,0,,1.6
Foster NB,1361,2011-09-22 01:03:40,0,,1.6
Foster NB,1361,2011-09-22 01:04:00,1,68,1.6
Foster NB,1361,2011-09-22 01:04:20,0,,1.6
Foster NB,1361,2011-09-22 01:04:40,0,,1.6
Foster NB,1361,2011-09-22 01:05:00,0,,1.6
Foster NB,1361,2011-09-22 01:05:20,0,,1.6
Foster NB,1361,2011-09-22 01:05:40,0,,1.6
Foster NB,1361,2011-09-22 01:06:00,1,47,1.6
Foster NB,1361,2011-09-22 01:06:20,0,,1.6
Foster NB,1361,2011-09-22 01:06:40,0,,1.6
Foster NB,1361,2011-09-22 01:07:00,0,,1.6
Foster NB,1361,2011-09-22 01:07:20,0,,1.6
Foster NB,1361,2011-09-22 01:07:40,2,72,1.6
Foster NB,1361,2011-09-22 01:08:00,0,,1.6
Foster NB,1361,2011-09-22 01:08:20,1,97,1.6
Foster NB,1361,2011-09-22 01:08:40,0,,1.6
Foster NB,1361,2011-09-22 01:09:00,0,,1.6
Foster NB,1361,2011-09-22 01:09:20,0,,1.6
Foster NB,1361,2011-09-22 01:09:40,0,,1.6
Foster NB,1361,2011-09-22 01:10:00,0,,1.6
Foster NB,1361,2011-09-22 01:10:20,0,,1.6
Foster NB,1361,2011-09-22 01:10:40,,,1.6
Foster NB,1361,2011-09-22 01:11:00,0,,1.6
Foster NB,1361,2011-09-22 01:11:20,0,,1.6
Foster NB,1361,2011-09-22 01:11:40,0,,1.6
Foster NB,1361,2011-09-22 01:12:00,0,,1.6
Foster NB,1361,2011-09-22 01:12:20,0,,1.6
Foster NB,1361,2011-09-22 01:12:40,0,,1.6
Foster NB,1361,2011-09-22 01:13:00,0,,1.6
Foster NB,1361,2011-09-22 01:13:20,0,,1.6
Foster NB,1361,2011-09-22 01:13:40,,,1.6
Foster NB,1361,2011-09-22 01:14:00,0,,1.6
Foster NB,1361,2011-09-22 01:14:20,1,67,1.6
Foster NB,1361,2011-09-22 01:14:40,0,,1.6
Foster NB,1361,2011-09-22 01:15:00,0,,1.6
Foster NB,1361,2011-09-22 01:15:20,0,,1.6
Foster NB,1361,2011-09-22 01:15:40,0,,1.6
Foster NB,1361,2011-09-22 01:16:00,0,,1.6
Foster NB,1361,2011-09-22 01:16:20,0,,1.6
Foster NB,1361,2011-09-22 01:16:40,0,,1.6
Foster NB,1361,2011-09-22 01:17:00,0,,1.6
Foster NB,1361,2011-09-22 01:17:20,0,,1.6
Foster NB,1361,2011-09-22 01:17:40,0,,1.6
Foster NB,1361,2011-09-22 01:18:00,0,,1.6
Foster NB,1361,2011-09-22 01:18:20,0,,1.6
Foster NB,1361,2011-09-22 01:18:40,1,64,1.6
Foster NB,1361,2011-09-22 01:19:00,0,,1.6
Foster NB,1361,2011-09-22 01:19:20,0,,1.6
Foster NB,1361,2011-09-22 01:19:40,0,,1.6
Foster NB,1361,2011-09-22 01:20:00,1,69,1.6
